scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,effectLimitHits,exceptions
B02_BREAK_N__VS__B03_SUMMON_N,B02_BREAK_N,B03_SUMMON_N,N,A_PLAYER,100,100,0,0,1,0,1.06,1,137.78,71.06,2.78,0,0,0,5.58,0,5,3.9,0,0
B03_SUMMON_N__VS__B02_BREAK_N,B03_SUMMON_N,B02_BREAK_N,N,B_PLAYER,100,0,100,0,0,0,1.1,1,69.81,141.8,0,3,0,0,0,5.48,4,5,0,0
B02_BREAK_N__VS__B04_DEATH_N,B02_BREAK_N,B04_DEATH_N,N,A_PLAYER,100,99,0,1,0.995,0,1.59,2,89.07,147.85,2.49,0,0,0,5.87,0,5,14.68,0,0
B04_DEATH_N__VS__B02_BREAK_N,B04_DEATH_N,B02_BREAK_N,N,B_PLAYER,100,0,99,1,0.005,0,1.57,2,161.05,93.17,0,2.5,0,0,0,5.43,17.5,5,0,0
B02_BREAK_N__VS__B05_SPELL_N,B02_BREAK_N,B05_SPELL_N,N,A_PLAYER,100,95,3,2,0.96,0,1.92,2,107.92,117.78,2,0.03,0,0,6.11,2,5,0,0,0
B05_SPELL_N__VS__B02_BREAK_N,B05_SPELL_N,B02_BREAK_N,N,B_PLAYER,100,0,89,11,0.055,0,2.01,2,107.72,97.42,0,1.87,0,0,2,6.01,0,5,0,0
B02_BREAK_N__VS__B06_REFRESH_N,B02_BREAK_N,B06_REFRESH_N,N,A_PLAYER,100,100,0,0,1,0,1.62,2,105.38,88,2.62,0,0,0,5.78,2,5,0,0,0
B06_REFRESH_N__VS__B02_BREAK_N,B06_REFRESH_N,B02_BREAK_N,N,B_PLAYER,100,0,100,0,0,0,1.85,2,80.18,96.99,0,2.7,0,0,2,5.64,0,5,0,0
B03_SUMMON_N__VS__B04_DEATH_N,B03_SUMMON_N,B04_DEATH_N,N,A_PLAYER,100,0,100,0,0,0,1,1,65.15,183.12,0,2,0,0,0,0,4.74,17.48,0,0
B04_DEATH_N__VS__B03_SUMMON_N,B04_DEATH_N,B03_SUMMON_N,N,B_PLAYER,100,100,0,0,1,0,1,1,176.87,62.05,2.1,0,0,0,0,0,17.88,4.8,0,0
B03_SUMMON_N__VS__B05_SPELL_N,B03_SUMMON_N,B05_SPELL_N,N,A_PLAYER,100,0,100,0,0,0,1,1,62.58,134.3,0,3.32,0,0,0,2,4.88,0,0,0
B05_SPELL_N__VS__B03_SUMMON_N,B05_SPELL_N,B03_SUMMON_N,N,B_PLAYER,100,100,0,0,1,0,1,1,135.79,61.07,3.46,0,0,0,2,0,0,4.23,0,0
B03_SUMMON_N__VS__B06_REFRESH_N,B03_SUMMON_N,B06_REFRESH_N,N,A_PLAYER,100,1,97,2,0.02,0,1.05,1,72.89,112.34,0.01,1.93,0,0,0,1.97,4.7,0,0,0
B06_REFRESH_N__VS__B03_SUMMON_N,B06_REFRESH_N,B03_SUMMON_N,N,B_PLAYER,100,97,0,3,0.985,0,1.03,1,111.09,70.74,1.98,0,0,0,1.93,0,0,4.14,0,0
B04_DEATH_N__VS__B05_SPELL_N,B04_DEATH_N,B05_SPELL_N,N,A_PLAYER,100,17,41,42,0.38,0,1.19,2,165.9,100.96,0.17,0.47,0,0,0,2,17.96,0,0,0
B05_SPELL_N__VS__B04_DEATH_N,B05_SPELL_N,B04_DEATH_N,N,B_PLAYER,100,54,14,32,0.7,0,1.26,2,94.43,153.43,0.7,0.14,0,0,2,0,0,17.1,0,0
B04_DEATH_N__VS__B06_REFRESH_N,B04_DEATH_N,B06_REFRESH_N,N,A_PLAYER,100,87,0,13,0.935,0,1.18,2,153.42,78.13,1.14,0,0,0,0,2,17.96,0,0,0
B06_REFRESH_N__VS__B04_DEATH_N,B06_REFRESH_N,B04_DEATH_N,N,B_PLAYER,100,1,88,11,0.065,0,1.2,2,76.01,148.13,0.01,1.13,0,0,2,0,0,17.54,0,0
B05_SPELL_N__VS__B06_REFRESH_N,B05_SPELL_N,B06_REFRESH_N,N,A_PLAYER,100,100,0,0,1,0,1.42,2,111.85,84.79,2.17,0,0,0,2,2,0,0,0,0
B06_REFRESH_N__VS__B05_SPELL_N,B06_REFRESH_N,B05_SPELL_N,N,B_PLAYER,100,0,97,3,0.015,0,1.44,2,85.4,113.12,0,2.07,0,0,2,2,0,0,0,0
B01_SHIELD_H__VS__B02_BREAK_H,B01_SHIELD_H,B02_BREAK_H,H,A_PLAYER,100,89,9,2,0.9,0,2.13,3,163.09,197.54,2.64,0.1,0,0,10.11,6.17,3,10,0,0
B02_BREAK_H__VS__B01_SHIELD_H,B02_BREAK_H,B01_SHIELD_H,H,B_PLAYER,100,6,85,9,0.105,0,2.18,3,222.26,176.59,0.07,2.4,0,0,6.23,9.54,10,3,0,0
B01_SHIELD_H__VS__B03_SUMMON_H,B01_SHIELD_H,B03_SUMMON_H,H,A_PLAYER,100,100,0,0,1,0,1.03,1,232.43,145.98,4.42,0,0,0,9.31,0,3,9,0,0
B03_SUMMON_H__VS__B01_SHIELD_H,B03_SUMMON_H,B01_SHIELD_H,H,B_PLAYER,100,0,100,0,0,0,1.05,1,152,234.35,0,4.45,0,0,0,8.95,8.94,3,0,0
B01_SHIELD_H__VS__B04_DEATH_H,B01_SHIELD_H,B04_DEATH_H,H,A_PLAYER,100,100,0,0,1,0,1.37,2,166.75,315.39,3.68,0,0,0,7.67,0,3,35.24,0,0
B04_DEATH_H__VS__B01_SHIELD_H,B04_DEATH_H,B01_SHIELD_H,H,B_PLAYER,100,0,100,0,0,0,1.29,2,329.51,167.53,0,3.86,0,0,0,7.46,33,3,0,0
B01_SHIELD_H__VS__B05_SPELL_H,B01_SHIELD_H,B05_SPELL_H,H,A_PLAYER,100,99,0,1,0.995,0,2,2,172.52,243.38,3.44,0,0,0,9.42,2,3,0,0,0
B05_SPELL_H__VS__B01_SHIELD_H,B05_SPELL_H,B01_SHIELD_H,H,B_PLAYER,100,0,100,0,0,0,1.98,2,243.38,172.6,0,3.55,0,0,2,9.22,0,3,0,0
B01_SHIELD_H__VS__B06_REFRESH_H,B01_SHIELD_H,B06_REFRESH_H,H,A_PLAYER,100,100,0,0,1,0,2,2,187.39,190.04,3.6,0,0,0,9.9,5,3,0,0,0
B06_REFRESH_H__VS__B01_SHIELD_H,B06_REFRESH_H,B01_SHIELD_H,H,B_PLAYER,100,0,100,0,0,0,2,2,189.04,184.67,0,3.48,0,0,5,9.71,0,3,0,0
B02_BREAK_H__VS__B03_SUMMON_H,B02_BREAK_H,B03_SUMMON_H,H,A_PLAYER,100,100,0,0,1,0,1.07,1,273.35,141.84,2.9,0,0,0,5.6,0,9.99,7.8,0,0
B03_SUMMON_H__VS__B02_BREAK_H,B03_SUMMON_H,B02_BREAK_H,H,B_PLAYER,100,0,100,0,0,0,1.09,1,139.46,278.9,0,3.02,0,0,0,5.48,8,10,0,0
B02_BREAK_H__VS__B04_DEATH_H,B02_BREAK_H,B04_DEATH_H,H,A_PLAYER,100,100,0,0,1,0,1.29,2,176.15,291.15,2.77,0,0,0,5.49,0,10,29.8,0,0
B04_DEATH_H__VS__B02_BREAK_H,B04_DEATH_H,B02_BREAK_H,H,B_PLAYER,100,0,100,0,0,0,1.25,2,304.02,178.82,0,2.83,0,0,0,5.17,32.94,10,0,0
B02_BREAK_H__VS__B05_SPELL_H,B02_BREAK_H,B05_SPELL_H,H,A_PLAYER,100,95,2,3,0.965,0,1.92,2,213.68,234.04,2.17,0.02,0,0,6.13,2,10,0,0,0
B05_SPELL_H__VS__B02_BREAK_H,B05_SPELL_H,B02_BREAK_H,H,B_PLAYER,100,0,94,6,0.03,0,2.01,2,214.46,192.14,0,2.14,0,0,2,5.95,0,10,0,0
B02_BREAK_H__VS__B06_REFRESH_H,B02_BREAK_H,B06_REFRESH_H,H,A_PLAYER,100,69,11,20,0.79,0,2.02,2,234.81,185.36,1.14,0.12,0,0,6.01,5,9.99,0,0,0
B06_REFRESH_H__VS__B02_BREAK_H,B06_REFRESH_H,B02_BREAK_H,H,B_PLAYER,100,8,67,25,0.205,0,2.08,2,171.42,214.07,0.09,1.08,0,0,5,6.05,0,10,0,0
B03_SUMMON_H__VS__B04_DEATH_H,B03_SUMMON_H,B04_DEATH_H,H,A_PLAYER,100,5,84,11,0.105,0,1.04,1,139.54,378.99,0.08,1.19,0,0,0,0,9.54,33.82,0,0
B04_DEATH_H__VS__B03_SUMMON_H,B04_DEATH_H,B03_SUMMON_H,H,B_PLAYER,100,90,1,9,0.945,0,1.02,1,383.98,136.38,1.19,0.02,0,0,0,0,34.92,9.14,0,0
B03_SUMMON_H__VS__B05_SPELL_H,B03_SUMMON_H,B05_SPELL_H,H,A_PLAYER,100,0,100,0,0,0,1,1,125.16,267.52,0,3.24,0,0,0,2,9.76,0,0,0
B05_SPELL_H__VS__B03_SUMMON_H,B05_SPELL_H,B03_SUMMON_H,H,B_PLAYER,100,100,0,0,1,0,1,1,271.2,121.86,3.46,0,0,0,2,0,0,8.46,0,0
B03_SUMMON_H__VS__B06_REFRESH_H,B03_SUMMON_H,B06_REFRESH_H,H,A_PLAYER,100,0,100,0,0,0,1.03,1,147.34,224.04,0,2.91,0,0,0,4.92,9.4,0,0,0
B06_REFRESH_H__VS__B03_SUMMON_H,B06_REFRESH_H,B03_SUMMON_H,H,B_PLAYER,100,100,0,0,1,0,1.03,1,221.38,142.72,2.99,0,0,0,4.91,0,0,8.28,0,0
B04_DEATH_H__VS__B05_SPELL_H,B04_DEATH_H,B05_SPELL_H,H,A_PLAYER,100,5,75,20,0.15,0,1.12,2,288.76,196.68,0.05,0.97,0,0,0,2,35.24,0,0,0
B05_SPELL_H__VS__B04_DEATH_H,B05_SPELL_H,B04_DEATH_H,H,B_PLAYER,100,72,4,24,0.84,0,1.18,2,188.96,267.71,1.05,0.04,0,0,2,0,0,33.84,0,0
B04_DEATH_H__VS__B06_REFRESH_H,B04_DEATH_H,B06_REFRESH_H,H,A_PLAYER,100,0,99,1,0.005,0,1.12,2,337.68,157.4,0,1.94,0,0,0,4.85,34.8,0,0,0
B06_REFRESH_H__VS__B04_DEATH_H,B06_REFRESH_H,B04_DEATH_H,H,B_PLAYER,100,99,0,1,0.995,0,1.15,2,154.46,318.88,2.08,0,0,0,4.91,0,0,34.1,0,0
B05_SPELL_H__VS__B06_REFRESH_H,B05_SPELL_H,B06_REFRESH_H,H,A_PLAYER,100,36,15,49,0.605,0,2,2,241.08,178.42,0.38,0.15,0,0,2,5,0,0,0,0
B06_REFRESH_H__VS__B05_SPELL_H,B06_REFRESH_H,B05_SPELL_H,H,B_PLAYER,100,28,35,37,0.465,0,1.97,2,178.16,243,0.31,0.37,0,0,5,2,0,0,0,0
B01_SHIELD_N__VS__D00_OUTPUT_DUMMY,B01_SHIELD_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,24,0,76,0.62,0.76,29.99,30,84.44,0,5,1.13,0,0,0,0,2,0,0,0
B01_SHIELD_N__VS__D01_MECHANIC_PRESSURE_N,B01_SHIELD_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,2.13,3,93.53,79.2,0,5,0,0,8.1,0,2,0,0,0
B02_BREAK_N__VS__D00_OUTPUT_DUMMY,B02_BREAK_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,100,0,0,1,0,29.23,30,90,0,5,0,0,0,0,0,0,0,0,0
B02_BREAK_N__VS__D01_MECHANIC_PRESSURE_N,B02_BREAK_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,123.96,79.68,0,5,0,0,5.71,0,5,0,0,0
B03_SUMMON_N__VS__D00_OUTPUT_DUMMY,B03_SUMMON_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,0,0,100,0.5,1,30,30,79.18,0,5,3.14,0,0,0,0,0,0,0,0
B03_SUMMON_N__VS__D01_MECHANIC_PRESSURE_N,B03_SUMMON_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,1.03,1,82.43,102.16,0,5,0,0,0,0,4.4,0,0,0
B04_DEATH_N__VS__D00_OUTPUT_DUMMY,B04_DEATH_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,0,0,100,0.5,1,30,30,80.56,0,5,3.16,0,0,0,0,0,0,0,0
B04_DEATH_N__VS__D01_MECHANIC_PRESSURE_N,B04_DEATH_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,187.68,78.32,0,5,0,0,0,0,17.96,0,0,0
B05_SPELL_N__VS__D00_OUTPUT_DUMMY,B05_SPELL_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,100,0,0,1,0,20.06,21,132.08,0,5,0,0,0,0,0,0,0,0,0
B05_SPELL_N__VS__D01_MECHANIC_PRESSURE_N,B05_SPELL_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,127.35,77.84,0,5,0,0,2,0,0,0,0,0
B06_REFRESH_N__VS__D00_OUTPUT_DUMMY,B06_REFRESH_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,100,0,0,1,0,27.46,28,95.91,0,5,0,0,0,0,0,0,0,0,0
B06_REFRESH_N__VS__D01_MECHANIC_PRESSURE_N,B06_REFRESH_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,94.51,78.56,0,5,0,0,2,0,0,0,0,0
B01_SHIELD_H__VS__D00_OUTPUT_DUMMY,B01_SHIELD_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,16.46,17,164.36,0,5,0,0,0,0,0,2,0,0,0
B01_SHIELD_H__VS__D01_MECHANIC_PRESSURE_H,B01_SHIELD_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,2.92,3,189.25,159.36,0,5,0,0,12.84,0,3,0,0,0
B02_BREAK_H__VS__D00_OUTPUT_DUMMY,B02_BREAK_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,15.06,15,180,0,5,0,0,0,0,0,0,0,0,0
B02_BREAK_H__VS__D01_MECHANIC_PRESSURE_H,B02_BREAK_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,244.57,159.36,0,5,0,0,5.71,0,10,0,0,0
B03_SUMMON_H__VS__D00_OUTPUT_DUMMY,B03_SUMMON_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,16.97,17,158.36,0,5,0,0,0,0,0,0,0,0,0
B03_SUMMON_H__VS__D01_MECHANIC_PRESSURE_H,B03_SUMMON_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,1.03,1,164.86,204.32,0,5,0,0,0,0,8.8,0,0,0
B04_DEATH_H__VS__D00_OUTPUT_DUMMY,B04_DEATH_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,16.86,17,161.12,0,5,0,0,0,0,0,0,0,0,0
B04_DEATH_H__VS__D01_MECHANIC_PRESSURE_H,B04_DEATH_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,1.33,2,401.47,144.48,0,5,0,0,0,0,34.76,0,0,0
B05_SPELL_H__VS__D00_OUTPUT_DUMMY,B05_SPELL_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,10.52,11,263.58,0,5,0,0,0,0,0,0,0,0,0
B05_SPELL_H__VS__D01_MECHANIC_PRESSURE_H,B05_SPELL_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,254.02,155.68,0,5,0,0,2,0,0,0,0,0
B06_REFRESH_H__VS__D00_OUTPUT_DUMMY,B06_REFRESH_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,14.11,15,191.82,0,5,0,0,0,0,0,0,0,0,0
B06_REFRESH_H__VS__D01_MECHANIC_PRESSURE_H,B06_REFRESH_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,191.32,159.52,0,5,0,0,5,0,0,0,0,0
